RANK,TEAM,RECORD,AVG MAR,W,L,WIN %,OPP RANK,SCHED STR
275,North Texas (C-USA),11-19,-4.9,11,19,36.67%,86,3
280,Pittsburgh (ACC),10-20,-5.6,10,20,33.33%,26,15
286,Charlotte (C-USA),11-18,-6.1,11,18,37.93%,92,1.8
293,Texas A&M (SEC),9-20,-7,9,20,31.03%,15,17.2
297,Northwestern (Big Ten),9-21,-7.4,9,21,30.00%,38,12.6
303,Arizona St. (Pac-12),8-20,-8.7,8,20,28.57%,10,18.2
306,TCU (Big 12),7-22,-8.9,7,22,24.14%,31,14
321,Rutgers (Big Ten),12-20,-10.6,12,20,37.50%,50,10.2
324,Xavier (Big East),7-23,-10.7,7,23,23.33%,71,6
333,LMU (CA) (WCC),7-23,-13.2,7,23,23.33%,82,3.8
